,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route
388,North Stake Centre,Edmonton North Stake,2,0,70,150,1,Griesbach Ward,3,400
389,North Stake Centre,Edmonton North Stake,2,0,69,150,1,Griesbach Ward,3,400
390,Bearspaw Chapel,Gateway Stake,3,4,19,20,1,Ellerslie Ward,2,109
391,Bearspaw Chapel,Gateway Stake,1,4,12,20,1,Ellerslie Ward,2,178
392,North Stake Centre,Edmonton North Stake,2,0,45,170,0,Namao Ward,1,316
393,North Stake Centre,Edmonton North Stake,1,0,17,15,0,Namao Ward,1,140
394,North Stake Centre,Edmonton North Stake,1,4,24,40,0,Namao Ward,1,211
395,Gateway Stake Centre,Gateway Stake,1,3,77,120,1,Silver Berry Ward,2,472
396,Gateway Stake Centre,Gateway Stake,1,1,14,45,0,Silver Berry Ward,1,150
397,Gateway Stake Centre,Gateway Stake,2,2,124,165,1,Crawford Plains Ward,6,759
398,Riverbend Stake Centre,Riverbend Stake,2,3,25,45,0,Woodbend Ward,1,150
399,Bearspaw Chapel,Gateway Stake,1,2,15,45,1,Lee Ridge Ward,2,162
400,Gateway Stake Centre,Gateway Stake,5,8,33,80,1,Rio Vista Ward,3,397
401,Gateway Stake Centre,Gateway Stake,2,1,50,135,1,Ellerslie Ward,2,419
402,Bearspaw Chapel,Gateway Stake,1,2,25,45,0,Lee Ridge Ward,1,160
403,Gateway Stake Centre,Gateway Stake,1,1,12,60,0,Crawford Plains Ward,1,92
404,Gateway Stake Centre,Gateway Stake,2,2,20,60,0,Ellerslie Ward,1,197
405,Bearspaw Chapel,Gateway Stake,2,1,14,60,0,Lee Ridge Ward,1,147
406,Bearspaw Chapel,Gateway Stake,1,4,13,35,0,Blackmud Creek Ward,1,177
407,Bearspaw Chapel,Gateway Stake,3,2,68,112,1,Lee Ridge Ward,3,466
408,Bearspaw Chapel,Bonnie Doon Stake,5,3,555,90,1,Southgate Ward,3,200
409,Bearspaw Chapel,Bonnie Doon Stake,1,0,17,30,0,Southgate Ward,1,13
410,Bearspaw Chapel,Gateway Stake,2,0,19,45,0,Blackmud Creek Ward,1,100
411,Bearspaw Chapel,Gateway Stake,2,2,32,60,0,Blackmud Creek Ward,1,174
412,Bearspaw Chapel,Gateway Stake,2,0,16,20,0,Blackmud Creek Ward,1,67
413,Gateway Stake Centre,Gateway Stake,3,2,29,45,1,Silver Berry Ward,2,339
414,Gateway Stake Centre,Gateway Stake,2,2,17,37,1,Silver Berry Ward,2,197
415,Bearspaw Chapel,Gateway Stake,2,0,20,60,0,Blackmud Creek Ward,1,123
416,Bearspaw Chapel,Gateway Stake,2,3,49,60,1,Blackmud Creek Ward,2,241
417,Bearspaw Chapel,Gateway Stake,2,0,21,40,0,Blackmud Creek Ward,1,109
418,Bearspaw Chapel,Gateway Stake,2,2,25,10,0,Blackmud Creek Ward,1,190
419,Bearspaw Chapel,Gateway Stake,3,4,40,35,0,Blackmud Creek Ward,1,155
420,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,5,20,20,0,Stony Plain Ward,1,115
421,Riverbend Stake Centre,Riverbend Stake,2,1,29,40,1,Greenfield Ward,3,200
422,Riverbend Stake Centre,Riverbend Stake,2,4,29,40,1,Terwillegar Park Ward,3,174
423,Riverbend Stake Centre,Riverbend Stake,2,4,39,80,1,Terwillegar Park Ward,3,262
424,Bearspaw Chapel,Gateway Stake,2,2,25,75,0,Blackmud Creek Ward,1,202
425,Bearspaw Chapel,Bonnie Doon Stake,4,5,34,55,0,Southgate Ward,1,157
426,Bearspaw Chapel,Gateway Stake,2,0,28,70,0,Lee Ridge Ward,1,142
427,Gateway Stake Centre,Gateway Stake,2,0,150,150,1,Crawford Plains Ward,6,0
428,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,16,30,0,Stony Plain Ward,1,0
429,Bearspaw Chapel,Bonnie Doon Stake,4,0,14,45,0,Southgate Ward,1,13
430,Bearspaw Chapel,Gateway Stake,2,0,22,60,0,Blackmud Creek Ward,1,0
431,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,29,60,1,Stony Plain Ward,3,240
432,Bearspaw Chapel,Bonnie Doon Stake,1,4,30,30,0,Southgate Ward,1,130
433,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,140,30,0,Stony Plain Ward,1,130
434,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,8,90,1,Stony Plain Ward,2,0
